Buy Threshold,Sell Threshold,2023-06-08,2023-06-09,2023-06-12,2023-06-13,2023-06-14,2023-06-15,2023-06-16,2023-06-20,2023-06-21,2023-06-22,2023-06-23,2023-06-26,2023-06-27,2023-06-28,2023-06-29,2023-06-30,2023-07-03,2023-07-05,2023-07-06,2023-07-07,2023-07-10,2023-07-11,2023-07-12,2023-07-13,2023-07-14,2023-07-17,2023-07-18,2023-07-19,Sum
0.095,-0.195,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.59,0.0,0.0,0.0,0.56,0.0,0.0,1.12,-2.15,-0.69,1.26,0.0,-2.58,0.0,0.0,0.0,-2.05,0.0,0.21,0.0,-3.39
0.095,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.59,0.0,0.0,0.0,0.56,0.0,0.0,1.12,-2.15,-0.69,1.26,0.0,-2.58,0.0,0.0,0.0,-2.05,0.0,0.21,0.0,-3.39
0.095,-0.205,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,1.28,0.0,0.0,0.0,0.56,0.0,0.0,1.12,-2.15,-0.69,1.26,0.0,-2.58,0.0,0.0,0.0,-2.05,0.0,0.21,0.0,-2.7
0.095,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,1.28,0.0,0.0,0.0,0.56,0.0,0.0,1.12,-2.15,-0.69,1.26,0.0,-2.58,0.0,0.0,0.0,-2.05,0.0,0.21,0.0,-2.7
0.095,-0.215,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,1.12,-2.15,-0.69,1.26,0.0,-2.58,0.0,0.0,0.0,-2.05,0.0,0.21,0.0,-3.26
0.095,-0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,1.12,-2.15,-0.69,1.26,0.0,-2.58,0.0,0.0,0.0,-2.05,0.0,0.21,0.0,-3.26
0.095,-0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,1.12,-2.15,-0.69,1.26,0.0,-2.58,0.0,0.0,0.0,-2.05,0.0,0.21,0.0,-3.26
0.095,-0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,1.12,-2.15,-0.69,1.26,0.0,-2.58,0.0,0.0,0.0,-2.05,0.0,0.21,0.0,-3.26
0.095,-0.235,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,1.12,-2.15,-0.69,1.26,0.0,-2.58,0.0,0.0,0.0,-2.05,0.0,0.21,0.0,-3.26
0.095,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,1.12,-2.15,-0.69,1.26,0.0,-2.58,0.0,0.0,0.0,-2.05,0.0,0.21,0.0,-3.26
0.095,-0.245,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,1.12,-2.15,-0.69,1.26,0.0,-2.58,0.0,0.0,0.0,-2.05,0.0,0.21,0.0,-3.26
0.09,0.0,-0.17,-0.33,1.49,-0.18,-1.7,-0.49,2.6,1.3,0.05,-2.36,-0.87,2.39,4.04,-3.83,0.19,0.06,-1.08,-0.25,-1.06,0.33,-0.6,0.0,0.0,0.07,0.01,-0.35,-0.11,-0.06,-0.91
0.09,-0.005,-0.17,-0.33,1.49,-0.18,-1.7,-0.49,2.6,1.01,0.05,-2.36,-1.16,2.39,4.04,-3.83,0.79,0.06,-1.08,-0.25,-1.06,0.33,-0.86,0.0,0.0,0.07,0.01,-0.35,-0.11,-0.06,-1.15
0.09,-0.01,-0.17,-0.24,1.3,-0.18,-1.7,-0.62,2.28,1.01,0.9,-2.1,-1.89,2.39,4.04,-3.83,0.93,0.33,-1.08,-1.15,-1.32,0.33,-0.86,0.0,0.0,0.07,0.01,-0.35,-0.01,-0.06,-1.97
0.09,-0.015,-0.17,-0.24,1.32,0.11,-1.6,-0.62,2.28,1.01,0.92,-2.1,-1.89,2.39,3.92,-3.83,0.93,0.05,-1.08,-1.15,-1.32,0.36,-0.86,0.0,0.0,0.07,-0.2,-0.35,-0.01,-0.06,-2.12
0.09,-0.02,-0.17,-0.3,1.32,0.11,-1.6,-0.16,2.08,1.01,1.51,-2.1,-2.07,2.13,3.92,-3.21,0.93,0.05,-1.08,-1.4,-1.32,0.59,-1.35,0.0,0.0,0.07,-0.52,-0.3,-0.01,-0.06,-1.93
0.09,-0.025,-0.17,-0.74,1.32,0.11,-1.6,-0.16,1.07,1.01,1.47,-2.1,-2.82,2.13,3.87,-4.16,0.93,0.05,-1.08,-1.4,-1.32,0.59,-1.35,0.0,0.0,0.04,-0.52,-0.3,-0.01,-0.06,-5.2
0.09,-0.03,-0.17,-0.74,1.32,0.11,-1.6,-0.21,1.07,1.01,1.47,-2.51,-2.82,2.13,3.87,-4.37,0.93,0.05,-1.25,-1.4,-1.03,0.59,-1.35,0.0,0.0,0.04,-0.69,-0.3,-0.01,-0.06,-5.92
0.09,-0.035,-0.17,-0.73,1.83,0.11,-1.6,-0.21,0.41,1.01,1.87,-2.51,-2.82,3.26,3.76,-4.37,1.32,0.05,-1.25,-1.4,-1.03,0.48,-1.35,0.0,0.0,0.04,-0.69,-0.3,0.22,-0.06,-4.13
0.09,-0.04,0.0,-0.73,1.94,1.61,-1.6,-0.21,-0.52,1.01,1.62,-2.04,-2.71,3.26,3.76,-3.87,1.33,0.05,-1.25,-1.4,-1.03,0.48,-0.78,0.0,0.0,-0.21,-0.69,-0.3,0.22,0.12,-1.94
0.09,-0.045,0.0,-0.85,1.94,1.61,-1.6,-0.21,-0.52,1.01,1.69,-1.13,-2.62,2.47,3.23,-3.87,3.59,0.05,-1.43,-1.4,-0.88,0.48,-0.7,0.0,0.0,-0.21,-0.69,-0.3,0.21,0.12,-0.01
0.09,-0.05,0.0,2.79,1.52,1.46,-1.6,-0.32,-0.36,1.01,1.57,-1.13,-2.62,2.47,2.52,-3.87,4.56,0.05,-1.43,-1.4,-0.88,0.48,-1.37,0.0,0.0,-0.21,-0.69,-0.3,0.21,0.12,2.58
0.09,-0.055,0.0,2.79,1.71,1.46,-1.6,-0.32,-0.36,2.41,1.57,-0.93,-3.62,2.47,2.52,-3.4,4.56,0.27,-1.43,-1.4,-0.87,0.15,-1.37,0.0,0.0,-0.21,-0.93,-0.3,0.21,0.12,3.5
0.09,-0.06,0.0,2.79,1.71,1.46,-2.39,-0.32,-0.36,2.41,1.79,-0.93,-3.62,2.47,2.52,-3.4,4.56,0.27,-1.43,-1.64,-0.07,-1.04,-1.37,0.0,0.0,-0.21,-0.93,-0.3,0.21,1.17,3.35
0.09,-0.065,0.0,3.12,2.19,1.46,-2.39,-0.32,0.82,1.82,1.65,-0.63,-3.11,0.9,2.56,-3.08,4.6,0.13,0.02,-1.44,-0.07,-1.04,-1.37,0.0,0.0,0.31,-0.93,-0.3,0.21,1.17,6.28
0.09,-0.07,0.0,2.98,1.57,1.32,-2.39,-0.32,0.95,1.82,1.57,-0.63,-3.11,0.9,2.56,-3.08,4.6,0.13,0.02,-1.44,-0.07,-1.04,-1.37,0.0,0.0,0.31,-1.38,-0.3,0.21,1.17,4.98
0.09,-0.075,0.0,2.98,1.49,1.32,-2.39,-0.32,0.95,1.82,0.49,-1.22,-2.43,1.35,2.56,-3.08,4.6,0.13,0.02,-1.15,-0.07,-0.65,-1.37,0.0,0.0,0.31,-1.38,-0.22,0.21,1.17,5.12
0.09,-0.08,0.0,2.98,1.18,1.32,-2.39,0.13,0.95,-1.33,1.46,-1.22,-2.54,1.58,2.56,-2.03,4.4,0.13,-0.45,-1.15,-0.07,-0.65,-1.37,0.0,0.0,0.31,-1.15,-0.22,0.21,1.17,3.81
0.09,-0.085,0.0,2.98,1.18,1.32,-2.39,0.13,0.95,-1.45,1.37,-1.83,-2.54,1.58,2.56,-0.08,4.64,0.13,-2.15,-1.15,-0.07,-0.65,-1.37,0.0,0.0,0.31,-2.71,-0.22,0.21,1.17,1.92
0.09,-0.09,0.0,2.98,1.18,1.32,-0.54,0.03,0.95,-0.8,-0.68,-2.88,-2.54,-0.68,2.56,-0.08,4.64,0.13,-2.15,-1.34,0.08,-0.8,-1.37,0.0,0.0,0.31,-2.82,-2.01,0.21,1.17,-3.13
0.09,-0.095,0.0,2.11,1.35,0.37,-0.54,0.03,0.95,-0.8,-0.77,-2.88,-2.54,-0.68,2.29,-0.08,4.16,0.13,-2.15,-1.34,0.57,-0.8,-1.37,0.0,0.0,0.31,-2.82,-2.01,0.21,1.17,-5.13
0.09,-0.1,0.0,0.56,1.35,0.37,-0.54,0.8,0.95,-0.8,-0.77,-2.8,-1.06,-0.68,2.08,-0.08,4.16,0.13,-2.15,-1.34,0.18,-0.36,-1.37,0.0,0.0,0.31,-2.82,-2.01,0.21,0.0,-5.68
0.09,-0.105,0.0,-0.05,0.98,0.37,0.0,0.8,0.95,0.0,-0.77,0.98,-2.72,0.07,1.98,-0.08,4.16,0.13,-2.15,-1.34,0.18,-0.36,-1.37,0.0,0.0,0.31,-2.82,-2.01,0.21,0.0,-2.55
0.09,-0.11,0.0,-0.05,0.98,0.02,0.0,0.8,0.95,0.0,-0.77,0.98,-2.72,0.07,1.98,-0.08,4.16,0.13,-2.15,-1.34,0.18,-0.36,-1.37,0.0,0.0,0.31,-2.82,-2.01,0.21,0.0,-2.9
0.09,-0.115,0.0,-0.05,0.98,0.02,0.0,0.8,0.95,0.0,-0.77,0.98,-2.72,0.07,1.33,-0.08,4.16,0.28,-2.15,-1.34,0.18,-0.36,-1.37,0.0,0.0,0.31,-2.82,-2.01,0.21,0.0,-3.4
0.09,-0.12,0.0,-0.05,0.98,0.02,0.0,0.8,0.95,0.0,-0.77,1.92,0.0,0.07,1.33,-0.08,4.16,0.28,-2.15,-1.34,0.18,-0.36,-1.37,0.0,0.0,0.31,-2.82,-2.01,0.21,0.0,0.26
0.09,-0.125,0.0,-0.05,0.98,-0.28,0.0,0.8,0.95,0.0,-0.77,2.23,0.0,0.0,1.33,-1.59,0.0,0.28,-2.15,-0.69,0.18,-0.36,-1.37,0.0,0.0,0.1,-2.57,-2.01,0.21,0.0,-4.78
0.09,-0.13,0.0,-0.05,0.69,-0.28,0.0,0.8,0.34,0.0,0.59,2.23,0.0,0.0,1.33,-1.59,0.0,0.28,-2.15,-0.69,1.26,-0.36,-2.58,0.0,0.0,0.1,-2.57,-2.01,0.21,0.0,-4.45
0.09,-0.135,0.0,-0.05,0.69,-0.28,0.0,0.8,0.34,0.0,0.59,2.23,0.0,0.0,1.33,-1.59,0.0,0.28,-2.15,-0.69,1.26,-0.36,-2.58,0.0,0.0,0.0,-2.57,-2.01,0.21,0.0,-4.55
0.09,-0.14,0.0,-0.05,0.69,0.13,0.0,0.33,0.34,0.0,0.59,2.23,0.0,0.0,1.33,-1.59,0.0,0.28,-2.15,-0.69,1.26,-0.36,-2.58,0.0,0.0,0.0,-2.57,-2.01,0.21,0.0,-4.61
0.09,-0.145,0.0,-0.05,0.69,0.13,0.0,0.33,0.34,0.0,0.59,2.23,0.0,0.0,-0.96,-1.59,0.0,0.28,-2.15,-0.69,1.26,-0.36,-2.58,0.0,0.0,0.0,-2.05,-2.01,0.21,0.0,-6.38
0.09,-0.15,0.0,-0.05,0.69,0.13,0.0,0.33,0.34,0.0,0.59,2.23,0.0,0.0,-0.96,-1.59,0.0,0.28,-2.15,-0.69,1.26,-0.36,-2.58,0.0,0.0,0.0,-2.05,-2.01,0.21,0.0,-6.38
0.09,-0.155,0.0,-0.05,0.69,1.09,0.0,0.0,0.34,0.0,0.59,2.23,0.0,0.0,-0.96,-1.59,0.0,0.28,-2.15,-0.69,1.26,-0.36,-2.58,0.0,0.0,0.0,-2.05,-2.01,0.21,0.0,-5.75
0.09,-0.16,0.0,0.0,0.69,1.09,0.0,0.0,0.34,0.0,0.59,2.23,0.0,0.0,-0.96,0.0,0.0,0.28,-2.15,-0.69,1.26,-0.36,-2.58,0.0,0.0,0.0,-2.05,-2.01,0.21,0.0,-4.11
0.09,-0.165,0.0,0.0,0.69,1.09,0.0,0.0,0.34,0.0,0.59,2.23,0.0,0.0,-0.96,0.0,0.0,0.28,-2.15,-0.69,1.26,-0.36,-2.58,0.0,0.0,0.0,-2.05,0.0,0.21,0.0,-2.1
0.09,-0.17,0.0,0.0,0.69,1.09,0.0,0.0,0.34,0.0,0.59,2.23,0.0,0.0,-0.96,0.0,0.0,0.28,-2.15,-0.69,1.26,-0.36,-2.58,0.0,0.0,0.0,-2.05,0.0,0.21,0.0,-2.1
0.09,-0.175,0.0,0.0,0.69,1.09,0.0,0.0,0.34,0.0,0.59,2.23,0.0,0.0,0.56,0.0,0.0,0.28,-2.15,-0.69,1.26,-0.36,-2.58,0.0,0.0,0.0,-2.05,0.0,0.21,0.0,-0.58
0.09,-0.18,0.0,0.0,0.69,0.0,0.0,0.0,0.34,0.0,0.59,2.23,0.0,0.0,0.56,0.0,0.0,0.28,-2.15,-0.69,1.26,-0.36,-2.58,0.0,0.0,0.0,-2.05,0.0,0.21,0.0,-1.67
0.09,-0.185,0.0,0.0,0.69,0.0,0.0,0.0,0.34,0.0,0.59,0.0,0.0,0.0,0.56,0.0,0.0,1.12,-2.15,-0.69,1.26,-0.36,-2.58,0.0,0.0,0.0,-2.05,0.0,0.21,0.0,-3.06
0.09,-0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.59,0.0,0.0,0.0,0.56,0.0,0.0,1.12,-2.15,-0.69,1.26,-0.36,-2.58,0.0,0.0,0.0,-2.05,0.0,0.21,0.0,-3.75
0.09,-0.195,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.59,0.0,0.0,0.0,0.56,0.0,0.0,1.12,-2.15,-0.69,1.26,-0.36,-2.58,0.0,0.0,0.0,-2.05,0.0,0.21,0.0,-3.75
0.09,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.59,0.0,0.0,0.0,0.56,0.0,0.0,1.12,-2.15,-0.69,1.26,-0.36,-2.58,0.0,0.0,0.0,-2.05,0.0,0.21,0.0,-3.75
0.09,-0.205,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,1.28,0.0,0.0,0.0,0.56,0.0,0.0,1.12,-2.15,-0.69,1.26,-0.36,-2.58,0.0,0.0,0.0,-2.05,0.0,0.21,0.0,-3.06
0.09,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,1.28,0.0,0.0,0.0,0.56,0.0,0.0,1.12,-2.15,-0.69,1.26,-0.36,-2.58,0.0,0.0,0.0,-2.05,0.0,0.21,0.0,-3.06
0.09,-0.215,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,1.12,-2.15,-0.69,1.26,-0.36,-2.58,0.0,0.0,0.0,-2.05,0.0,0.21,0.0,-3.62
0.09,-0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,1.12,-2.15,-0.69,1.26,-0.36,-2.58,0.0,0.0,0.0,-2.05,0.0,0.21,0.0,-3.62
0.09,-0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,1.12,-2.15,-0.69,1.26,-0.36,-2.58,0.0,0.0,0.0,-2.05,0.0,0.21,0.0,-3.62
0.09,-0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,1.12,-2.15,-0.69,1.26,-0.36,-2.58,0.0,0.0,0.0,-2.05,0.0,0.21,0.0,-3.62
0.09,-0.235,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,1.12,-2.15,-0.69,1.26,-0.36,-2.58,0.0,0.0,0.0,-2.05,0.0,0.21,0.0,-3.62
0.09,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,1.12,-2.15,-0.69,1.26,-0.36,-2.58,0.0,0.0,0.0,-2.05,0.0,0.21,0.0,-3.62
0.09,-0.245,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,1.12,-2.15,-0.69,1.26,-0.36,-2.58,0.0,0.0,0.0,-2.05,0.0,0.21,0.0,-3.62
0.085,0.0,-0.17,-0.33,1.49,-0.79,-1.7,-0.75,2.56,1.3,-0.27,-2.52,-0.87,2.39,4.49,-3.83,-0.05,-0.3,-1.08,-0.18,-1.06,0.33,-0.33,0.0,0.0,0.07,0.01,-1.15,-0.11,-0.06,-2.91
0.085,-0.005,-0.17,-0.33,1.49,-0.89,-1.7,-0.83,2.87,1.01,-0.27,-2.52,-1.16,2.39,4.49,-3.83,0.55,-0.3,-1.08,-0.18,-1.06,0.33,-0.59,0.0,0.0,0.07,0.01,-1.15,-0.11,-0.06,-3.02
0.085,-0.01,-0.17,-0.24,1.3,-0.89,-1.7,-0.85,2.55,1.01,1.01,-1.79,-1.89,2.39,4.49,-3.83,0.93,0.08,-1.08,-1.08,-1.32,0.33,-0.62,0.0,0.0,0.07,0.01,-1.15,-0.01,-0.06,-2.51
0.085,-0.015,-0.17,-0.24,1.32,-0.6,-1.6,-0.85,2.55,1.01,1.03,-1.79,-1.89,2.39,4.37,-3.83,1.42,0.05,-1.08,-1.08,-1.32,0.36,-0.62,0.0,0.0,0.07,-0.2,-0.75,-0.01,-0.06,-1.52
0.085,-0.02,-0.17,-0.3,1.32,-0.0,-1.6,-0.27,2.35,1.01,1.62,-1.79,-2.07,2.13,4.17,-3.21,1.55,0.05,-1.08,-1.33,-1.32,0.59,-1.11,0.0,0.0,0.07,-0.52,-0.7,-0.01,-0.06,-0.68
0.085,-0.025,-0.17,-0.74,1.32,-0.0,-1.6,-0.09,1.38,1.01,1.58,-1.79,-2.82,2.13,4.12,-4.16,1.55,0.05,-1.08,-1.33,-1.32,0.59,-1.11,0.0,0.0,0.04,-0.52,-0.7,-0.01,-0.06,-3.73
0.085,-0.03,-0.17,-0.74,1.32,-0.0,-1.6,-0.14,1.38,1.01,1.58,-2.2,-2.82,2.13,4.12,-4.37,1.55,0.05,-1.25,-1.33,-1.03,0.59,-1.11,0.0,0.0,0.04,-0.69,-0.79,-0.01,-0.06,-4.54
0.085,-0.035,-0.17,-0.73,1.83,-0.0,-1.6,-0.14,0.72,1.01,1.98,-2.2,-2.82,3.26,4.01,-4.37,1.94,0.05,-1.25,-1.33,-1.03,0.48,-1.11,0.0,0.0,0.04,-0.69,-0.72,0.22,-0.06,-2.68
0.085,-0.04,0.0,-0.73,1.94,1.5,-1.6,-0.14,-0.21,1.01,1.73,-1.73,-2.71,3.26,4.01,-3.87,1.95,0.05,-1.25,-1.33,-1.03,0.48,-0.54,0.0,0.0,-0.21,-0.69,-0.97,0.22,0.12,-0.74
0.085,-0.045,0.0,-0.85,1.94,1.5,-1.6,-0.14,-0.26,1.01,1.8,-0.82,-2.62,2.47,3.48,-3.87,3.35,0.05,-1.43,-1.33,-0.88,0.48,-0.46,0.0,0.0,-0.21,-0.69,-1.24,0.21,0.12,0.01
0.085,-0.05,0.0,2.79,1.52,1.35,-1.6,-0.25,-0.1,1.01,1.68,-0.82,-2.62,2.47,2.77,-3.87,4.56,0.05,-1.43,-1.33,-0.88,0.48,-1.13,0.0,0.0,-0.21,-0.69,-1.24,0.21,0.12,2.84
0.085,-0.055,0.0,2.79,1.71,1.35,-1.6,-0.25,-0.1,2.41,1.68,-0.62,-3.62,2.47,2.77,-3.4,4.56,0.27,-1.43,-1.33,-0.87,0.15,-1.13,0.0,0.0,-0.21,-0.93,-1.24,0.21,0.12,3.76
0.085,-0.06,0.0,2.79,1.71,1.35,-2.39,-0.25,-0.1,2.41,1.9,-0.62,-3.62,2.47,2.77,-3.4,4.56,0.27,-1.43,-1.57,-0.07,-1.04,-1.13,0.0,0.0,-0.21,-0.93,-1.6,0.21,1.17,3.25
0.085,-0.065,0.0,3.12,2.19,1.75,-2.39,-0.25,0.53,1.82,1.76,-0.32,-3.11,0.9,4.45,-3.08,4.6,0.13,0.02,-1.52,-0.07,-1.04,-1.13,0.0,0.0,0.31,-0.93,-1.22,0.21,1.17,7.9
0.085,-0.07,0.0,2.98,1.57,1.61,-2.39,-0.25,0.47,1.82,1.67,-0.32,-3.11,0.9,4.45,-3.08,4.6,0.13,0.02,-1.52,-0.07,-1.04,-1.13,0.0,0.0,0.31,-1.38,-1.22,0.21,1.17,6.4
0.085,-0.075,0.0,2.98,1.49,1.61,-2.39,-0.28,0.47,1.82,0.59,-0.91,-2.43,1.35,4.45,-3.08,4.6,0.13,0.02,-1.23,-0.07,-0.65,-1.13,0.0,0.0,0.31,-1.38,-1.12,0.21,1.17,6.53
0.085,-0.08,0.0,2.98,1.18,1.61,-2.39,0.17,0.47,-1.33,1.46,-0.91,-2.54,1.58,4.45,-2.03,4.4,0.13,-0.45,-1.23,-0.07,-0.65,-2.21,0.0,0.0,0.31,-1.15,-1.12,0.21,1.17,4.04
0.085,-0.085,0.0,2.98,1.18,1.61,-2.39,0.17,0.47,-1.45,1.37,-1.52,-2.54,1.58,4.45,-0.08,4.64,0.13,-2.15,-1.23,-0.07,-0.65,-2.38,0.0,0.0,0.31,-2.71,-1.16,0.21,1.17,1.94
0.085,-0.09,0.0,2.98,1.18,1.61,-0.54,0.07,0.47,-0.8,-0.68,-2.57,-2.54,-0.68,4.45,-0.08,4.64,0.13,-2.15,-1.34,0.08,-0.8,-2.38,0.0,0.0,0.31,-2.82,-2.62,0.21,1.17,-2.7
0.085,-0.095,0.0,2.11,1.35,0.66,-0.54,0.07,0.47,-0.8,-0.77,-2.57,-2.54,-0.68,4.18,-0.08,4.16,0.13,-2.15,-1.34,0.57,-0.8,-2.38,0.0,0.0,0.31,-2.82,-2.62,0.21,1.17,-4.7
0.085,-0.1,0.0,0.56,1.35,0.66,-0.54,0.84,0.47,-0.8,-0.77,-2.49,-1.06,-0.68,3.97,-0.08,4.16,0.13,-2.15,-1.34,0.18,-0.36,-2.38,0.0,0.0,0.31,-2.82,-2.62,0.21,0.0,-5.25
0.085,-0.105,0.0,-0.05,0.98,0.66,0.0,0.84,0.47,0.0,-0.77,1.29,-2.72,0.07,3.87,-0.08,4.16,0.13,-2.15,-1.34,0.18,-0.36,-2.38,0.0,0.0,0.31,-2.82,-2.62,0.21,0.0,-2.12
0.085,-0.11,0.0,-0.05,0.98,1.06,0.0,0.84,0.47,0.0,-0.77,1.29,-2.72,0.07,3.87,-0.08,4.16,0.13,-2.15,-1.34,0.18,-0.36,-2.38,0.0,0.0,0.31,-2.82,-2.62,0.21,0.0,-1.72
0.085,-0.115,0.0,-0.05,0.98,1.06,0.0,0.84,0.47,0.0,-0.77,1.29,-2.72,0.07,1.33,-0.08,4.16,0.28,-2.15,-1.34,0.18,-0.36,-2.38,0.0,0.0,0.31,-2.82,-2.62,0.21,0.0,-4.11
0.085,-0.12,0.0,-0.05,0.98,1.06,0.0,0.84,0.47,0.0,-0.77,1.92,0.0,0.07,1.33,-0.08,4.16,0.28,-2.15,-1.34,0.18,-0.36,-2.38,0.0,0.0,0.31,-2.82,-2.62,0.21,0.0,-0.76
0.085,-0.125,0.0,-0.05,0.98,0.76,0.0,0.84,0.89,0.0,-0.77,2.23,0.0,0.0,1.33,-1.59,0.0,0.28,-2.15,-0.69,0.18,-0.36,-2.38,0.0,0.0,0.1,-2.57,-2.62,0.21,0.0,-5.38
0.085,-0.13,0.0,-0.05,0.69,0.76,0.0,0.84,0.28,0.0,0.59,2.23,0.0,0.0,1.33,-1.59,0.0,0.28,-2.15,-0.69,1.26,-0.36,-2.58,0.0,0.0,0.1,-2.57,-2.62,0.21,0.0,-4.04
0.085,-0.135,0.0,-0.05,0.69,0.76,0.0,0.84,-0.08,0.0,0.59,2.23,0.0,0.0,1.33,-1.59,0.0,0.28,-2.15,-0.69,1.26,-0.36,-2.58,0.0,0.0,0.0,-2.57,-2.62,0.21,0.0,-4.5
0.085,-0.14,0.0,-0.05,0.69,1.17,0.0,0.43,-0.08,0.0,0.59,2.23,0.0,0.0,1.33,-1.59,0.0,0.28,-2.15,-0.69,1.26,-0.36,-2.58,0.0,0.0,0.0,-2.57,-2.62,0.21,0.0,-4.5
0.085,-0.145,0.0,-0.05,0.69,1.17,0.0,0.43,-0.08,0.0,0.59,2.23,0.0,0.0,-0.96,-1.59,0.0,0.28,-2.15,-0.69,1.26,-0.36,-2.58,0.0,0.0,0.0,-2.05,-2.62,0.21,0.0,-6.27
0.085,-0.15,0.0,-0.05,0.69,1.17,0.0,0.43,-0.08,0.0,0.59,2.23,0.0,0.0,-0.96,-1.59,0.0,0.28,-2.15,-0.69,1.26,-0.36,-2.58,0.0,0.0,0.0,-2.05,-2.62,0.21,0.0,-6.27
0.085,-0.155,0.0,-0.05,0.69,1.09,0.0,0.0,-0.08,0.0,0.59,2.23,0.0,0.0,-0.96,-1.59,0.0,0.28,-2.15,-0.69,1.26,-0.36,-2.58,0.0,0.0,0.0,-2.05,-2.62,0.21,0.0,-6.78
0.085,-0.16,0.0,0.0,0.69,1.09,0.0,0.0,-0.08,0.0,0.59,2.23,0.0,0.0,-0.96,0.0,0.0,0.28,-2.15,-0.69,1.26,-0.36,-2.58,0.0,0.0,0.0,-2.05,-2.62,0.21,0.0,-5.14
0.085,-0.165,0.0,0.0,0.69,1.09,0.0,0.0,-0.08,0.0,0.59,2.23,0.0,0.0,-0.96,0.0,0.0,0.28,-2.15,-0.69,1.26,-0.36,-2.58,0.0,0.0,0.0,-2.05,-3.03,0.21,0.0,-5.55
0.085,-0.17,0.0,0.0,0.69,1.09,0.0,0.0,-0.08,0.0,0.59,2.23,0.0,0.0,-0.96,0.0,0.0,0.28,-2.15,-0.69,1.26,-0.36,-2.58,0.0,0.0,0.0,-2.05,-3.03,0.21,0.0,-5.55
0.085,-0.175,0.0,0.0,0.69,1.09,0.0,0.0,-0.08,0.0,0.59,2.23,0.0,0.0,0.56,0.0,0.0,0.28,-2.15,-0.69,1.26,-0.36,-2.58,0.0,0.0,0.0,-2.05,-3.03,0.21,0.0,-4.03
0.085,-0.18,0.0,0.0,0.69,0.0,0.0,0.0,-0.08,0.0,0.59,2.23,0.0,0.0,0.56,0.0,0.0,0.28,-2.15,-0.69,1.26,-0.36,-2.58,0.0,0.0,0.0,-2.05,-3.03,0.21,0.0,-5.12
0.085,-0.185,0.0,0.0,0.69,0.0,0.0,0.0,-0.08,0.0,0.59,0.0,0.0,0.0,0.56,0.0,0.0,1.12,-2.15,-0.69,1.26,-0.36,-2.58,0.0,0.0,0.0,-2.05,-3.03,0.21,0.0,-6.51
0.085,-0.19,0.0,0.0,0.0,0.0,0.0,0.0,-0.08,0.0,0.59,0.0,0.0,0.0,0.56,0.0,0.0,1.12,-2.15,-0.69,1.26,-0.36,-2.58,0.0,0.0,0.0,-2.05,-3.03,0.21,0.0,-7.2
0.085,-0.195,0.0,0.0,0.0,0.0,0.0,0.0,-0.08,0.0,0.59,0.0,0.0,0.0,0.56,0.0,0.0,1.12,-2.15,-0.69,1.26,-0.36,-2.58,0.0,0.0,0.0,-2.05,-3.03,0.21,0.0,-7.2
